Book Title;Year;Series Title;Imprint;URL
Herpetology (Third Edition);2009;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123743466
Herpetology (Fourth Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123869197
High-Performance Communication Networks (Second Edition);2000;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781558605749
Homeland Security (Second Edition);2018;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128044650
Human Anatomy;2008;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780443103735
Human Biochemistry;2018;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123838643
The Human Bone Manual;2005;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780120884674
Human Embryology and Developmental Biology (Fifth Edition);2014;;W.B. Saunders;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781455727940
Human Osteology (Third Edition);2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123741349
Human Parasitology (Fourth Edition);2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124159150
Human Reproductive Biology (Third Edition);2006;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780120884650
Human Reproductive Biology (Fourth Edition);2014;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123821843
Human Sexuality and Its Problems (Third Edition);2009;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780443051616
Instrumentation and Control Systems (Second Edition);2015;;Newnes;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780081006139
Intermolecular and Surface Forces (Third Edition);2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123919274
Introduction to Aircraft Structural Analysis;2010;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781856179324
Introduction to Aircraft Structural Analysis (Third Edition);2018;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780081020760
Introduction to Biomedical Engineering (Second Edition);2005;Biomedical Engineering;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780122386626
Introduction to Biomedical Engineering (Third Edition);2012;Biomedical Engineering;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123749796
Introduction to Business Analytics using Simulation;2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128104842
Introduction to Data Compression (Fifth Edition);2018;The Morgan Kaufmann Series in Multimedia Information and Systems;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128094747
An Introduction to Dynamic Meteorology (Fifth Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123848666
Introduction to Emergency Management (Fifth Edition);2014;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124077843
Introduction to Emergency Management (Sixth Edition);2017;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128030646
Introduction to Emergency Management (Seventh Edition);2020;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128171394
Introduction to Floriculture (Second Edition);1992;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124376519
Introduction to Forestry and Natural Resources;2014;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123869012
Introduction to Homeland Security (Fourth Edition);2012;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124158023
An Introduction to Human Evolutionary Anatomy;1990;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780120455911
Introduction to Information Security;2014;;Syngress;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781597499699
An Introduction to Parallel Programming;2011;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123742605
Introduction to Probability Models (Tenth Edition);2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123756862
Introduction to Probability Models (Eleventh Edition);2014;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124079489
Introduction to Probability Models (Twelfth Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128143469
Introduction to Probability and Statistics for Engineers and Scientists (Fourth Edition);2009;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123704832
Introduction to Probability and Statistics for Engineers and Scientists (Fifth Edition);2014;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123948113
Introduction to Robust Estimation and Hypothesis Testing (Fourth Edition);2017;Statistical Modeling and Decision Science;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128047330
Introduction to Security (Ninth Edition);2013;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123850577
Introduction to Security (Tenth Edition);2019;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128053102
An Introduction to Stochastic Modeling (Fourth Edition);2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123814166
Introductory Statistics (Third Edition);2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123743886
Introductory Statistics (Fourth Edition);2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128043172
